Model,CV Accuracy,CV Precision,CV Recall,CV F1,CV ROC-AUC,Training Score,Generalization Gap,Selection Score,Nested CV Time,Final Best Params,Feature Selection,PCA,SMOTE
Logistic Regression,0.9604395604395604,0.9645711143695014,0.9294117647058823,0.9460497711243979,0.9946336429308567,0.9802197802197803,0.019780219780219932,0.9554087090304455,10.464122533798218,,,,
Linear SVM,0.9736263736263735,0.9826890756302522,0.9470588235294117,0.9640700135329292,0.9948400412796697,0.9807692307692308,0.0071428571428573395,0.9674521818648889,4.1071648597717285,,,,
SVM RBF,0.9692307692307691,0.9651263516159151,0.9529411764705882,0.9582624877254033,0.9932920536635708,0.989010989010989,0.019780219780219932,0.9677396611554641,5.975135803222656,"{""smote"": ""SMOTE"", ""pca"": ""passthrough"", ""model__gamma"": ""float"", ""model__C"": ""int"", ""feature_selection"": ""passthrough""}",False,False,True
Random Forest,0.9516483516483516,0.9268261562998404,0.9470588235294117,0.9361958324320426,0.9840557275541795,0.9972527472527473,0.045604395604395664,0.8880376559226688,39.50473594665527,,,,
Extra Trees,0.9626373626373628,0.9584568372803668,0.9411764705882353,0.9493280988330041,0.9915376676986585,0.9967032967032967,0.034065934065933945,0.908962343476328,35.94717597961426,,,,
Gradient Boosting,0.9516483516483516,0.9387058555479608,0.9352941176470588,0.9359022612689063,0.9868937048503611,1.0,0.0483516483516484,0.8800035734050757,48.01228594779968,,,,
HistGradientBoosting,0.9626373626373625,0.9666367623604465,0.9352941176470587,0.9493509144255412,0.9909184726522188,1.0,0.03736263736263745,0.9014831519593774,27.80704665184021,,,,
AdaBoost,0.964835164835165,0.9654531490015362,0.9411764705882353,0.9522753171552653,0.9954592363261094,1.0,0.03516483516483504,0.9092996863004439,35.394025802612305,,,,
KNN,0.964835164835165,0.9762710084033615,0.9294117647058823,0.951484762041028,0.989576883384933,0.9747252747252748,0.009890109890109855,0.955418239789555,3.846712350845337,,,,
Decision Tree,0.9076923076923077,0.8796017668709549,0.8823529411764707,0.8780016174259897,0.9221362229102168,0.9758241758241759,0.06813186813186822,0.7937537954002798,4.4561262130737305,,,,
